SKU,Name,Parent-SKU,Min - Max,Typ,Standardpreis,Extra-Preis,Warengruppe,Menü/Bildschirm,Schaltflächenname,Schaltflächenfarbe,Schaltflächenstil,Barcode,Kostenpreis,Verpackungsinhalt (Lagerverwaltung),Einheit (Lagerverwaltung),Gewicht,"Tara (Gramm, Verkauf nach Gewicht)",Freigabe-Status,Name auf dem Produktionsbon,Gang,Statistikgruppe,Produktionsanweisung
OI1,Divers,,,Artikel,,,Eis,Kasse Schwarzenbek 14.04.2026/Menü,Divers,BLUE,Akzent,,,,,,,SHARED,,,,
FT1,Text Artikel,,,Unterartikel,0.0,,Eis,,Text Artikel,BLUE,Akzent,,,,,,,SHARED,,,,
FT2,Text Konto,,,Artikel,0.0,,Eis,,Text Konto,BLUE,Akzent,,,,,,,SHARED,,,,
MSG0,Schneller,,,Artikel,0.0,,Eis,,Schneller,BLUE,Akzent,,,,,,,SHARED,,,,
MSG1,---------------------,,,Artikel,0.0,,Eis,,----------------------------,BLUE,Akzent,,,,,,,SHARED,,,,
MSG2,VIP Gast,,,Artikel,0.0,,Eis,,VIP Gast,BLUE,Akzent,,,,,,,SHARED,,,,
7,Eiskugel,,,Artikel,2.0,,Eis,Kasse Schwarzenbek 14.04.2026/Menü/Eis,1 Kugel,DARK_RED,Hintergrund,,,,,,,LOCAL,,,,
8,Waffelgedeck,,,Artikel,10.9,,Kuchen,,Waffeln,ORANGE,Akzent,,,,,,,LOCAL,,,,
9,Eisschale Groß,,,Artikel,9.9,,Eisbecher,Kasse Schwarzenbek 14.04.2026/Menü/Eisbecher,Eisbecher Groß,YELLOW,Akzent,,,,,,,LOCAL,,,,
10,Schnecken,,,Artikel,3.9,,Kuchen,,Schnecke,BLUE,Akzent,,,,,,,LOCAL,,,,
11,Stück Kuchen,,,Artikel,3.9,,Kuchen,,Stück Kuchen,BLUE,Akzent,,,,,,,LOCAL,,,,
13,"Klassisch 0,3 L",,,Artikel,5.5,,Milchshake,,Klassisch,BLUE,Akzent,,,,,,,LOCAL,,,,
15,"Milchshake 0,3 L",,,Artikel,5.5,,Milchshake,,"Spezial 0,3 L",BLUE,Akzent,,,,,,,LOCAL,,,,
16,"Spezial 0,5 L",,,Artikel,7.9,,Milchshake,Kasse Schwarzenbek 14.04.2026/Menü/Milchshake & Schokoladen /Michshake,"Spezial 0,5 L",DARK_RED,Hintergrund,,,,,,,LOCAL,,,,
17,Nussiges,,,Artikel,8.0,,Eisbecher,Kasse Schwarzenbek 14.04.2026/Menü/Eisbecher,Eisbecher Klein,BROWN,Akzent,,,,,,,LOCAL,,,,
18,Süsses,,,Artikel,8.9,,Eisbecher,,Süsses,LIGHT_RED,Akzent,,,,,,,LOCAL,,,,
19,Banane,,,Artikel,2.0,,Toppings,,Banane,YELLOW,Akzent,,,,,,,LOCAL,,,,
20,Obstsalat,,,Artikel,2.0,,Toppings,,Obstsalat,YELLOW,Akzent,,,,,,,LOCAL,,,,
21,Dessert Kirschen,,,Artikel,2.0,,Toppings,,Dessert Kirschen,DARK_RED,Akzent,,,,,,,LOCAL,,,,
22,Mango,,,Artikel,2.0,,Toppings,,Mango,BLUE,Akzent,,,,,,,LOCAL,,,default/,
23,Amarena Kirschen,,,Artikel,2.0,,Toppings,,Amarena Kirschen,BLUE,Akzent,,,,,,,LOCAL,,,default/,
28,Ganz,,,Artikel,1.6,,Toppings,,Ganz,WHITE,Akzent,,,,,,,LOCAL,,,,
29,Halb,,,Artikel,0.9,,Toppings,,Halb,WHITE,Akzent,,,,,,,LOCAL,,,,
32,Früchte & Gebackenes,,,Artikel,2.0,,Toppings,Kasse Schwarzenbek 14.04.2026/Menü/Eis,Früchte & Gebackenes,GREEN,Hintergrund,,,,,,,LOCAL,,,,
35,Walnuss,,,Artikel,1.0,,Toppings,,Walnuss,BLUE,Akzent,,,,,,,LOCAL,,,,
36,Schokolade,,,Artikel,1.0,,Toppings,,Schokolade,BLUE,Akzent,,,,,,,LOCAL,,,,
38,Karamellwürfel,,,Artikel,0.5,,Toppings,,Karamellwürfel,BLUE,Akzent,,,,,,,LOCAL,,,default/,
39,Brownie,,,Artikel,2.0,,Toppings,,Brownie,BLUE,Akzent,,,,,,,LOCAL,,,default/,
40,Cookies,,,Artikel,2.0,,Toppings,,Cookies,BLUE,Akzent,,,,,,,LOCAL,,,default/,
42,Walnüsse,,,Artikel,1.5,,Toppings,,Walnüsse,BLUE,Akzent,,,,,,,LOCAL,,,default/,
43,kara. Walnüsse,,,Artikel,1.5,,Toppings,,kara. Walnüsse,BLUE,Akzent,,,,,,,LOCAL,,,default/,
44,Haselnüsse,,,Artikel,1.5,,Toppings,,Haselnüsse,BLUE,Akzent,,,,,,,LOCAL,,,default/,
45,Erdnüsse,,,Artikel,1.5,,Toppings,,Erdnüsse,BLUE,Akzent,,,,,,,LOCAL,,,default/,
47,Marzipan,,,Artikel,2.0,,Toppings,,Marzipan,BLUE,Akzent,,,,,,,LOCAL,,,default/,
48,Marshmallows,,,Artikel,0.5,,Toppings,,Marshmallows,BLUE,Akzent,,,,,,,LOCAL,,,default/,
49,Smarties,,,Artikel,0.5,,Toppings,,Smarties,BLUE,Akzent,,,,,,,LOCAL,,,default/,
