"SKU","Bildschirm"
"7","Menü##Eis"
"109","Menü##Eis"
"32","Menü##Eis"
"127","Menü##Eis"
"30","Menü##Eis"
"51","Menü##Eis"
"130","Menü##Eis"
"131","Menü##Eis"
"132","Menü##Eis"
"149","Menü##Eis"
"9","Menü##Eisbecher"
"17","Menü##Eisbecher"
"129","Menü##Eisbecher"
"86","Menü##Eisbecher"
"87","Menü##Eisbecher"
"104","Menü##Eisbecher"
"59","Menü##Getränke"
"58","Menü##Getränke"
"57","Menü##Getränke"
"52","Menü##Getränke"
"61","Menü##Getränke"
"70","Menü##Kaffee & Tee"
"73","Menü##Kaffee & Tee"
"72","Menü##Kaffee & Tee"
"75","Menü##Kaffee & Tee"
"71","Menü##Kaffee & Tee"
"74","Menü##Kaffee & Tee"
"68","Menü##Kaffee & Tee"
"89","Menü##Kaffee & Tee"
"30","Menü##Kaffee & Tee"
"76","Menü##Kaffee & Tee"
"147","Menü##Kaffee & Tee"
"100","Menü##Milchshake & Schokoladen "
"99","Menü##Milchshake & Schokoladen "
"30","Menü##Milchshake & Schokoladen "
"37","Menü##Milchshake & Schokoladen "
"94","Menü##Milchshake & Schokoladen ##Michshake "
"93","Menü##Milchshake & Schokoladen ##Michshake "
"128","Menü##Milchshake & Schokoladen ##Michshake "
"16","Menü##Milchshake & Schokoladen ##Michshake "
"95","Menü##Milchshake & Schokoladen ##Eisschokolade & Eiscafe"
"96","Menü##Milchshake & Schokoladen ##Eisschokolade & Eiscafe"
"76","Menü##Milchshake & Schokoladen "
"84","Menü##Eistorten & Eispralinen "
"126","Menü##Eistorten & Eispralinen "
"OI1","Menü"
"118","Menü##Kuchen"
"119","Menü##Kuchen"
"139","Menü##Kuchen##Brownie "
"103","Menü##Kuchen##Brownie "
"79","Menü##Kuchen"
"78","Menü##Kuchen"
"148","Menü##Kuchen"
"150","Menü##Kuchen"
"151","Menü##Kuchen"
"77","Menü"
